Event,Remark,Protocols,event_type,count_rows
ABCESS,LF,NA,unknown,50
ABCESS,LF CRONI,NA,unknown,2
ABCESS,LFRF,NA,unknown,4
ABCESS,LFRF ABC,NA,unknown,1
ABCESS,LR,NA,unknown,47
ABCESS,LRLF,NA,unknown,1
ABCESS,LRRR,NA,unknown,1
ABCESS,NALGAS,NA,unknown,1
ABCESS,PESCUSO,NA,unknown,1
ABCESS,RF,NA,unknown,78
ABCESS,RF CRONC,NA,unknown,2
ABCESS,RFLF,NA,unknown,1
ABCESS,RR,NA,unknown,52
ABCESS,RR CRONI,NA,unknown,1
ABCESS,RRRF,NA,unknown,1
ABCESS,NA,NA,unknown,1
ABORT,10 DAYS,NA,repro,1
ABORT,10.9.25,NA,repro,2
ABORT,100 DAYS,NA,repro,1
ABORT,102 DAYS,NA,repro,2
ABORT,103 DAYS,NA,repro,1
ABORT,104 DAYS,NA,repro,1
ABORT,105 DAYS,NA,repro,2
ABORT,106 DAYS,NA,repro,7
ABORT,107 DAYS,NA,repro,1
ABORT,108 DAYS,NA,repro,1
ABORT,109 DAYS,NA,repro,2
ABORT,11 DAYS,NA,repro,1
ABORT,110 DAYS,NA,repro,1
ABORT,111 DAYS,NA,repro,2
ABORT,113 DAYS,NA,repro,4
ABORT,116 DAYS,NA,repro,1
ABORT,117 DAYS,NA,repro,1
ABORT,118 DAYS,NA,repro,1
ABORT,119 DAYS,NA,repro,2
ABORT,12 DAYS,NA,repro,1
ABORT,120 DAYS,NA,repro,2
ABORT,122,NA,repro,1
ABORT,122 DAYS,NA,repro,3
ABORT,126 DAYS,NA,repro,1
ABORT,127 DAYS,NA,repro,2
ABORT,131 DAYS,NA,repro,3
ABORT,137 DAYS,NA,repro,1
ABORT,138 DAYS,NA,repro,2
ABORT,139 DAYS,NA,repro,2
ABORT,140 DAYS,NA,repro,3
ABORT,141 DAYS,NA,repro,40
ABORT,142 DAYS,NA,repro,1
ABORT,143 DAYS,NA,repro,3
ABORT,144 DAYS,NA,repro,3
ABORT,145 DAYS,NA,repro,4
ABORT,146 DAYS,NA,repro,5
ABORT,147 DAYS,NA,repro,7
ABORT,148 DAYS,NA,repro,5
ABORT,149 DAYS,NA,repro,2
ABORT,15 DAYS,NA,repro,4
ABORT,150 DAYS,NA,repro,3
ABORT,151 DAYS,NA,repro,5
ABORT,152 DAYS,NA,repro,2
ABORT,153 DAYS,NA,repro,2
ABORT,154 DAYS,NA,repro,1
ABORT,155 DAYS,NA,repro,1
ABORT,158 DAYS,NA,repro,1
ABORT,159 DAYS,NA,repro,1
ABORT,16 DAYS,NA,repro,1
ABORT,162 DAYS,NA,repro,2
ABORT,164 DAYS,NA,repro,1
ABORT,165 DAYS,NA,repro,1
ABORT,166 DAYS,NA,repro,1
ABORT,167 DAYS,NA,repro,2
ABORT,168 DAYS,NA,repro,2
ABORT,17 DAYS,NA,repro,1
ABORT,170 DAYS,NA,repro,2
ABORT,172 DAYS,NA,repro,1
ABORT,173 DAYS,NA,repro,2
ABORT,175 DAYS,NA,repro,1
ABORT,176 DAYS,NA,repro,1
ABORT,179 DAYS,NA,repro,2
ABORT,18 DAYS,NA,repro,5
ABORT,180 DAYS,NA,repro,2
ABORT,183 DAYS,NA,repro,1
ABORT,184 DAYS,NA,repro,1
ABORT,185 DAYS,NA,repro,3
ABORT,186 DAYS,NA,repro,1
ABORT,187 DAYS,NA,repro,1
ABORT,19 DAYS,NA,repro,1
ABORT,190 DAYS,NA,repro,3
ABORT,191 DAYS,NA,repro,2
ABORT,192 DAYS,NA,repro,2
ABORT,193 DAYS,NA,repro,3
ABORT,194 DAYS,NA,repro,4
ABORT,197 DAYS,NA,repro,1
ABORT,198 DAYS,NA,repro,2
ABORT,199 DAYS,NA,repro,1
ABORT,20 DAYS,NA,repro,6
ABORT,201 DAYS,NA,repro,4
ABORT,202 DAYS,NA,repro,3
ABORT,203 DAYS,NA,repro,1
ABORT,205 DAYS,NA,repro,1
ABORT,206 DAYS,NA,repro,3
ABORT,207 DAYS,NA,repro,1
ABORT,208 DAYS,NA,repro,4
ABORT,209 DAYS,NA,repro,2
ABORT,21 DAYS,NA,repro,1
ABORT,210 DAYS,NA,repro,4
ABORT,211 DAYS,NA,repro,1
ABORT,212 DAYS,NA,repro,1
ABORT,214 DAYS,NA,repro,5
ABORT,216 DAYS,NA,repro,2
ABORT,218 DAYS,NA,repro,2
ABORT,219 DAYS,NA,repro,1
ABORT,22 DAYS,NA,repro,9
ABORT,220 DAYS,NA,repro,6
ABORT,221 DAYS,NA,repro,2
ABORT,222 DAYS,NA,repro,10
ABORT,223 DAYS,NA,repro,17
ABORT,224 DAYS,NA,repro,3
ABORT,225 DAYS,NA,repro,5
ABORT,226 DAYS,NA,repro,1
ABORT,228 DAYS,NA,repro,3
ABORT,229 DAYS,NA,repro,4
ABORT,23 DAYS,NA,repro,3
ABORT,230 DAYS,NA,repro,7
ABORT,231 DAYS,NA,repro,2
ABORT,233 DAYS,NA,repro,2
ABORT,234 DAYS,NA,repro,2
ABORT,23470 DA,NA,repro,1
ABORT,235 DAYS,NA,repro,6
ABORT,237 DAYS,NA,repro,4
ABORT,238 DAYS,NA,repro,2
ABORT,239 DAYS,NA,repro,6
ABORT,24 DAYS,NA,repro,4
ABORT,240 DAYS,NA,repro,13
ABORT,241 DAYS,NA,repro,6
ABORT,242 DAYS,NA,repro,2
ABORT,243 DAYS,NA,repro,2
ABORT,244 DAYS,NA,repro,6
ABORT,245 DAYS,NA,repro,4
ABORT,246 DAYS,NA,repro,2
ABORT,247 DAYS,NA,repro,6
ABORT,248 DAYS,NA,repro,2
ABORT,249 DAYS,NA,repro,2
ABORT,25 DAYS,NA,repro,1
ABORT,250 DAYS,NA,repro,6
ABORT,251 DAYS,NA,repro,6
ABORT,252 DAYS,NA,repro,2
ABORT,253 DAYS,NA,repro,4
ABORT,255 DAYS,NA,repro,4
ABORT,257 DAYS,NA,repro,6
ABORT,259 DAYS,NA,repro,2
ABORT,26 DAYS,NA,repro,5
ABORT,260 DAYS,NA,repro,3
ABORT,264 DAYS,NA,repro,2
ABORT,265 DAYS,NA,repro,1
ABORT,266 DAYS,NA,repro,4
ABORT,268 DAYS,NA,repro,2
ABORT,269 DAYS,NA,repro,2
ABORT,27 DAYS,NA,repro,3
ABORT,271 DAYS,NA,repro,1
ABORT,277 DAYS,NA,repro,3
ABORT,28 DAYS,NA,repro,6
ABORT,282 DAYS,NA,repro,2
ABORT,285 DAYS,NA,repro,1
ABORT,29 DAYS,NA,repro,12
ABORT,290 DAYS,NA,repro,2
ABORT,292 DAYS,NA,repro,4
ABORT,295 DAYS,NA,repro,1
ABORT,299 DAYS,NA,repro,1
ABORT,30,NA,repro,2
ABORT,30 DAYS,NA,repro,6
ABORT,300 DAYS,NA,repro,1
ABORT,31 DAYS,NA,repro,5
ABORT,317 DAYS,NA,repro,1
ABORT,319 DAYS,NA,repro,2
ABORT,32 DAYS,NA,repro,4
ABORT,33 DAYS,NA,repro,7
ABORT,335 DAYS,NA,repro,1
ABORT,34 DAYS,NA,repro,5
ABORT,35 DAYS,NA,repro,6
ABORT,36 DAYS,NA,repro,37
ABORT,37 DAYS,NA,repro,6
ABORT,38 DAYS,NA,repro,6
ABORT,39 DAYS,NA,repro,1
ABORT,40 DAYS,NA,repro,6
ABORT,41 DAYS,NA,repro,8
ABORT,42 DAYS,NA,repro,16
ABORT,43 DAYS,NA,repro,23
ABORT,44 DAYS,NA,repro,7
ABORT,45 DAYS,NA,repro,7
ABORT,46 DAYS,NA,repro,6
ABORT,47 DAYS,NA,repro,7
ABORT,48 DAYS,NA,repro,6
ABORT,49 DAYS,NA,repro,8
ABORT,50 DAYS,NA,repro,15
ABORT,51 DAYS,NA,repro,6
ABORT,52 DAYS,NA,repro,5
ABORT,53 DAYS,NA,repro,6
ABORT,54 DAYS,NA,repro,7
ABORT,55 DAYS,NA,repro,8
ABORT,56 DAYS,NA,repro,8
ABORT,57 DAYS,NA,repro,17
ABORT,58 DAYS,NA,repro,4
ABORT,59 DAYS,NA,repro,10
ABORT,60 DAYS,NA,repro,2
ABORT,61 DAYS,NA,repro,4
ABORT,62 DAYS,NA,repro,3
ABORT,63 DAYS,NA,repro,4
ABORT,64 DAYS,NA,repro,15
ABORT,65 DAYS,NA,repro,4
ABORT,66 DAYS,NA,repro,5
ABORT,67 DAYS,NA,repro,5
ABORT,68 DAYS,NA,repro,5
ABORT,69 DAYS,NA,repro,6
ABORT,70 DAYS,NA,repro,5
ABORT,71 DAYS,NA,repro,12
ABORT,72 DAYS,NA,repro,3
ABORT,73 DAYS,NA,repro,2
ABORT,74 DAYS,NA,repro,1
ABORT,76 DAYS,NA,repro,4
ABORT,77 DAYS,NA,repro,6
ABORT,78 DAYS,NA,repro,9
ABORT,79 DAYS,NA,repro,5
